"","SqlTrace"
"39","INSERT INTO HS_UsagersMotDePasse (UsagerID, MotDePasse, DateChange)  VALUES ('ed50617RSC', 'cdea1cd3e4214ba4c507ebc34147b049020dac2d', GETDATE())"
"40","INSERT INTO HS_UsagersMotDePasse (UsagerID, MotDePasse, DateChange)  VALUES ('ed50617RSC', 'cdea1cd3e4214ba4c507ebc34147b049020dac2d', GETDATE())"
"41","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"42","UPDATE HS_UsagersMotDePasse SET DateChange = (GETDATE() - 1) WHERE UsagerID = 'ed50617RSC' AND DateChange = '1900-01-01'"
"43","UPDATE HS_UsagersMotDePasse SET DateChange = (GETDATE() - 1) WHERE UsagerID = 'ed50617RSC' AND DateChange = '1900-01-01'"
"44","exec sp_cursorclose 180150013"
"45","exec sp_cursorclose 180150009"
"46","exec sp_cursorclose 180150007"
"47","exec sp_cursorclose 180150005"
"48","exec sp_cursorclose 180150003"
"49","UPDATE Gmp_Usagers
 SET NbTentativesConnexion = 0
 WHERE UsagerID = 'ed50617RSC'"
"50","UPDATE Gmp_Usagers
 SET NbTentativesConnexion = 0
 WHERE UsagerID = 'ed50617RSC'"
"51","Delete from  GMP_UTILISER  where UsagerID = 'ed50617RSC'"
"52","Delete from  GMP_UTILISER  where UsagerID = 'ed50617RSC'"
"53","declare @p1 int
set @p1=180150019
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Group_Partenaire from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"54","exec sp_cursorfetch 180150019,16,1,1"
"55","exec sp_cursorclose 180150019"
"56","declare @p1 int
set @p1=180150021
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"57","exec sp_cursorfetch 180150021,16,1,1"
"58","exec sp_cursorclose 180150021"
"59","declare @p1 int
set @p1=180150023
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"60","exec sp_cursorfetch 180150023,16,1,1"
"61","exec sp_cursorclose 180150023"
"62","declare @p1 int
set @p1=180150025
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=193
exec sp_cursoropen @p1 output,N'SELECT Description, CodeID FROM GMP_CODES',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"63","exec sp_cursorfetch 180150025,16,1,1"
"64","exec sp_cursorfetch 180150025,16,2,1"
"65","exec sp_cursorfetch 180150025,16,3,1"
"66","exec sp_cursorfetch 180150025,16,4,1"
"67","exec sp_cursorfetch 180150025,16,5,1"
"68","exec sp_cursorfetch 180150025,16,6,1"
"69","exec sp_cursorfetch 180150025,16,7,1"
"70","exec sp_cursorfetch 180150025,16,8,1"
"71","exec sp_cursorfetch 180150025,16,9,1"
"72","exec sp_cursorfetch 180150025,16,10,1"
"73","exec sp_cursorfetch 180150025,16,11,1"
"74","exec sp_cursorfetch 180150025,16,12,1"
"75","exec sp_cursorfetch 180150025,16,13,1"
"76","exec sp_cursorfetch 180150025,16,14,1"
"77","exec sp_cursorfetch 180150025,16,15,1"
"78","exec sp_cursorfetch 180150025,16,16,1"
"79","exec sp_cursorfetch 180150025,16,17,1"
"80","exec sp_cursorfetch 180150025,16,18,1"
"81","exec sp_cursorfetch 180150025,16,19,1"
"82","exec sp_cursorfetch 180150025,16,20,1"
"83","exec sp_cursorfetch 180150025,16,21,1"
"84","exec sp_cursorfetch 180150025,16,22,1"
"85","exec sp_cursorfetch 180150025,16,23,1"
"86","exec sp_cursorfetch 180150025,16,24,1"
"87","exec sp_cursorfetch 180150025,16,25,1"
"88","exec sp_cursorfetch 180150025,16,26,1"
"89","exec sp_cursorfetch 180150025,16,27,1"
"90","exec sp_cursorfetch 180150025,16,28,1"
"91","exec sp_cursorfetch 180150025,16,29,1"
"92","exec sp_cursorfetch 180150025,16,30,1"
"93","exec sp_cursorfetch 180150025,16,31,1"
"94","exec sp_cursorfetch 180150025,16,32,1"
"95","exec sp_cursorfetch 180150025,16,33,1"
"96","exec sp_cursorfetch 180150025,16,34,1"
"97","exec sp_cursorfetch 180150025,16,35,1"
"98","exec sp_cursorfetch 180150025,16,36,1"
"99","exec sp_cursorfetch 180150025,16,37,1"
"100","exec sp_cursorfetch 180150025,16,38,1"
"101","exec sp_cursorfetch 180150025,16,39,1"
"102","exec sp_cursorfetch 180150025,16,40,1"
"103","exec sp_cursorfetch 180150025,16,41,1"
"104","exec sp_cursorfetch 180150025,16,42,1"
"105","exec sp_cursorfetch 180150025,16,43,1"
"106","exec sp_cursorfetch 180150025,16,44,1"
"107","exec sp_cursorfetch 180150025,16,45,1"
"108","exec sp_cursorfetch 180150025,16,46,1"
"109","exec sp_cursorfetch 180150025,16,47,1"
"110","exec sp_cursorfetch 180150025,16,48,1"
"111","exec sp_cursorfetch 180150025,16,49,1"
"112","exec sp_cursorfetch 180150025,16,50,1"
"113","exec sp_cursorfetch 180150025,16,51,1"
"114","exec sp_cursorfetch 180150025,16,52,1"
"115","exec sp_cursorfetch 180150025,16,53,1"
"116","exec sp_cursorfetch 180150025,16,54,1"
"117","exec sp_cursorfetch 180150025,16,55,1"
"118","exec sp_cursorfetch 180150025,16,56,1"
"119","exec sp_cursorfetch 180150025,16,57,1"
"120","exec sp_cursorfetch 180150025,16,58,1"
"121","exec sp_cursorfetch 180150025,16,59,1"
"122","exec sp_cursorfetch 180150025,16,60,1"
"123","exec sp_cursorfetch 180150025,16,61,1"
"124","exec sp_cursorfetch 180150025,16,62,1"
"125","exec sp_cursorfetch 180150025,16,63,1"
"126","exec sp_cursorfetch 180150025,16,64,1"
"127","exec sp_cursorfetch 180150025,16,65,1"
"128","exec sp_cursorfetch 180150025,16,66,1"
"129","exec sp_cursorfetch 180150025,16,67,1"
"130","exec sp_cursorfetch 180150025,16,68,1"
"131","exec sp_cursorfetch 180150025,16,69,1"
"132","exec sp_cursorfetch 180150025,16,70,1"
"133","exec sp_cursorfetch 180150025,16,71,1"
"134","exec sp_cursorfetch 180150025,16,72,1"
"135","exec sp_cursorfetch 180150025,16,73,1"
"136","exec sp_cursorfetch 180150025,16,74,1"
"137","exec sp_cursorfetch 180150025,16,75,1"
"138","exec sp_cursorfetch 180150025,16,76,1"
"139","exec sp_cursorfetch 180150025,16,77,1"
"140","exec sp_cursorfetch 180150025,16,78,1"
"141","exec sp_cursorfetch 180150025,16,79,1"
"142","exec sp_cursorfetch 180150025,16,80,1"
"143","exec sp_cursorfetch 180150025,16,81,1"
"144","exec sp_cursorfetch 180150025,16,82,1"
"145","exec sp_cursorfetch 180150025,16,83,1"
"146","exec sp_cursorfetch 180150025,16,84,1"
"147","exec sp_cursorfetch 180150025,16,85,1"
"148","exec sp_cursorfetch 180150025,16,86,1"
"149","exec sp_cursorfetch 180150025,16,87,1"
"150","exec sp_cursorfetch 180150025,16,88,1"
"151","exec sp_cursorfetch 180150025,16,89,1"
"152","exec sp_cursorfetch 180150025,16,90,1"
"153","exec sp_cursorfetch 180150025,16,91,1"
"154","exec sp_cursorfetch 180150025,16,92,1"
"155","exec sp_cursorfetch 180150025,16,93,1"
"156","exec sp_cursorfetch 180150025,16,94,1"
"157","exec sp_cursorfetch 180150025,16,95,1"
"158","exec sp_cursorfetch 180150025,16,96,1"
"159","exec sp_cursorfetch 180150025,16,97,1"
"160","exec sp_cursorfetch 180150025,16,98,1"
"161","exec sp_cursorfetch 180150025,16,99,1"
"162","exec sp_cursorfetch 180150025,16,100,1"
"163","exec sp_cursorfetch 180150025,16,101,1"
"164","exec sp_cursorfetch 180150025,16,102,1"
"165","exec sp_cursorfetch 180150025,16,103,1"
"166","exec sp_cursorfetch 180150025,16,104,1"
"167","exec sp_cursorfetch 180150025,16,105,1"
"168","exec sp_cursorfetch 180150025,16,106,1"
"169","exec sp_cursorfetch 180150025,16,107,1"
"170","exec sp_cursorfetch 180150025,16,108,1"
"171","exec sp_cursorfetch 180150025,16,109,1"
"172","exec sp_cursorfetch 180150025,16,110,1"
"173","exec sp_cursorfetch 180150025,16,111,1"
"174","exec sp_cursorfetch 180150025,16,112,1"
"175","exec sp_cursorfetch 180150025,16,113,1"
"176","exec sp_cursorfetch 180150025,16,114,1"
"177","exec sp_cursorfetch 180150025,16,115,1"
"178","exec sp_cursorfetch 180150025,16,116,1"
"179","exec sp_cursorfetch 180150025,16,117,1"
"180","exec sp_cursorfetch 180150025,16,118,1"
"181","exec sp_cursorfetch 180150025,16,119,1"
"182","exec sp_cursorfetch 180150025,16,120,1"
"183","exec sp_cursorfetch 180150025,16,121,1"
"184","exec sp_cursorfetch 180150025,16,122,1"
"185","exec sp_cursorfetch 180150025,16,123,1"
"186","exec sp_cursorfetch 180150025,16,124,1"
"187","exec sp_cursorfetch 180150025,16,125,1"
"188","exec sp_cursorfetch 180150025,16,126,1"
"189","exec sp_cursorfetch 180150025,16,127,1"
"190","exec sp_cursorfetch 180150025,16,128,1"
"191","exec sp_cursorfetch 180150025,16,129,1"
"192","exec sp_cursorfetch 180150025,16,130,1"
"193","exec sp_cursorfetch 180150025,16,131,1"
"194","exec sp_cursorfetch 180150025,16,132,1"
"195","exec sp_cursorfetch 180150025,16,133,1"
"196","exec sp_cursorfetch 180150025,16,134,1"
"197","exec sp_cursorfetch 180150025,16,135,1"
"198","exec sp_cursorfetch 180150025,16,136,1"
"199","exec sp_cursorfetch 180150025,16,137,1"
"200","exec sp_cursorfetch 180150025,16,138,1"
"201","exec sp_cursorfetch 180150025,16,139,1"
"202","exec sp_cursorfetch 180150025,16,140,1"
"203","exec sp_cursorfetch 180150025,16,141,1"
"204","exec sp_cursorfetch 180150025,16,142,1"
"205","exec sp_cursorfetch 180150025,16,143,1"
"206","exec sp_cursorfetch 180150025,16,144,1"
"207","exec sp_cursorfetch 180150025,16,145,1"
"208","exec sp_cursorfetch 180150025,16,146,1"
"209","exec sp_cursorfetch 180150025,16,147,1"
"210","exec sp_cursorfetch 180150025,16,148,1"
"211","exec sp_cursorfetch 180150025,16,149,1"
"212","exec sp_cursorfetch 180150025,16,150,1"
"213","exec sp_cursorfetch 180150025,16,151,1"
"214","exec sp_cursorfetch 180150025,16,152,1"
"215","exec sp_cursorfetch 180150025,16,153,1"
"216","exec sp_cursorfetch 180150025,16,154,1"
"217","exec sp_cursorfetch 180150025,16,155,1"
"218","exec sp_cursorfetch 180150025,16,156,1"
"219","exec sp_cursorfetch 180150025,16,157,1"
"220","exec sp_cursorfetch 180150025,16,158,1"
"221","exec sp_cursorfetch 180150025,16,159,1"
"222","exec sp_cursorfetch 180150025,16,160,1"
"223","exec sp_cursorfetch 180150025,16,161,1"
"224","exec sp_cursorfetch 180150025,16,162,1"
"225","exec sp_cursorfetch 180150025,16,163,1"
"226","exec sp_cursorfetch 180150025,16,164,1"
"227","exec sp_cursorfetch 180150025,16,165,1"
"228","exec sp_cursorfetch 180150025,16,166,1"
"229","exec sp_cursorfetch 180150025,16,167,1"
"230","exec sp_cursorfetch 180150025,16,168,1"
"231","exec sp_cursorfetch 180150025,16,169,1"
"232","exec sp_cursorfetch 180150025,16,170,1"
"233","exec sp_cursorfetch 180150025,16,171,1"
"234","exec sp_cursorfetch 180150025,16,172,1"
"235","exec sp_cursorfetch 180150025,16,173,1"
"236","exec sp_cursorfetch 180150025,16,174,1"
"237","exec sp_cursorfetch 180150025,16,175,1"
"238","exec sp_cursorfetch 180150025,16,176,1"
"239","exec sp_cursorfetch 180150025,16,177,1"
"240","exec sp_cursorfetch 180150025,16,178,1"
"241","exec sp_cursorfetch 180150025,16,179,1"
"242","exec sp_cursorfetch 180150025,16,180,1"
"243","exec sp_cursorfetch 180150025,16,181,1"
"244","exec sp_cursorfetch 180150025,16,182,1"
"245","exec sp_cursorfetch 180150025,16,183,1"
"246","exec sp_cursorfetch 180150025,16,184,1"
"247","exec sp_cursorfetch 180150025,16,185,1"
"248","exec sp_cursorfetch 180150025,16,186,1"
"249","exec sp_cursorfetch 180150025,16,187,1"
"250","exec sp_cursorfetch 180150025,16,188,1"
"251","exec sp_cursorfetch 180150025,16,189,1"
"252","exec sp_cursorfetch 180150025,16,190,1"
"253","exec sp_cursorfetch 180150025,16,191,1"
"254","exec sp_cursorfetch 180150025,16,192,1"
"255","exec sp_cursorfetch 180150025,16,193,1"
"256","exec sp_cursorfetch 180150025,16,194,1"
"257","declare @p1 int
set @p1=180150027
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''Clear'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"258","exec sp_cursorfetch 180150027,16,1,1"
"259","exec sp_cursorclose 180150027"
"260","declare @p1 int
set @p1=180150029
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''NewClient'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"261","exec sp_cursorfetch 180150029,16,1,1"
"262","exec sp_cursorclose 180150029"
"263","declare @p1 int
set @p1=180150031
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''NewEquip'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"264","exec sp_cursorfetch 180150031,16,1,1"
"265","exec sp_cursorclose 180150031"
"266","declare @p1 int
set @p1=180150033
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''NewProduit'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"267","exec sp_cursorfetch 180150033,16,1,1"
"268","exec sp_cursorclose 180150033"
"269","declare @p1 int
set @p1=180150035
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''NewAppel'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"270","exec sp_cursorfetch 180150035,16,1,1"
"271","exec sp_cursorclose 180150035"
"272","declare @p1 int
set @p1=180150037
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''Save'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"273","exec sp_cursorfetch 180150037,16,1,1"
"274","exec sp_cursorclose 180150037"
"275","declare @p1 int
set @p1=180150039
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''Delete'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"276","exec sp_cursorfetch 180150039,16,1,1"
"277","exec sp_cursorclose 180150039"
"278","declare @p1 int
set @p1=180150041
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''Close'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"279","exec sp_cursorfetch 180150041,16,1,1"
"280","exec sp_cursorclose 180150041"
"281","declare @p1 int
set @p1=180150043
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_CODES  WHERE CodeID = ''Refresh'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"282","exec sp_cursorfetch 180150043,16,1,1"
"283","exec sp_cursorclose 180150043"
"284","declare @p1 int
set @p1=180150045
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=9
exec sp_cursoropen @p1 output,N'SELECT Description FROM GMP_STATUTCOMPTE ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"285","exec sp_cursorfetch 180150045,16,1,1"
"286","exec sp_cursorfetch 180150045,16,2,1"
"287","exec sp_cursorfetch 180150045,16,3,1"
"288","exec sp_cursorfetch 180150045,16,4,1"
"289","exec sp_cursorfetch 180150045,16,5,1"
"290","exec sp_cursorfetch 180150045,16,6,1"
"291","exec sp_cursorfetch 180150045,16,7,1"
"292","exec sp_cursorfetch 180150045,16,8,1"
"293","exec sp_cursorfetch 180150045,16,9,1"
"294","exec sp_cursorfetch 180150045,16,10,1"
"295","declare @p1 int
set @p1=180150047
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"296","exec sp_cursorfetch 180150047,16,1,1"
"297","exec sp_cursorclose 180150047"
"298","declare @p1 int
set @p1=180150049
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''38'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"299","exec sp_cursorfetch 180150049,16,1,1"
"300","exec sp_cursorclose 180150049"
"301","declare @p1 int
set @p1=180150051
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=56
exec sp_cursoropen @p1 output,N'SELECT SV00515.Contract_Internal_Name FROM SV00515  LEFT JOIN GMP_SV00515  ON SV00515.Contract_Internal_Name = GMP_SV00515.Contract_Internal_Name  WHERE (GMP_SV00515.Desuet = ''0''  AND DateFin >= Convert(DateTime,getdate(),112)) OR SV00515.Contract_Internal_Name = ''''  ORDER BY SV00515.Contract_Internal_Name ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"302","exec sp_cursorclose 180150045"
"303","exec sp_cursorfetch 180150051,16,1,1"
"304","exec sp_cursorfetch 180150051,16,2,1"
"305","exec sp_cursorfetch 180150051,16,3,1"
"306","exec sp_cursorfetch 180150051,16,4,1"
"307","exec sp_cursorfetch 180150051,16,5,1"
"308","exec sp_cursorfetch 180150051,16,6,1"
"309","exec sp_cursorfetch 180150051,16,7,1"
"310","exec sp_cursorfetch 180150051,16,8,1"
"311","exec sp_cursorfetch 180150051,16,9,1"
"312","exec sp_cursorfetch 180150051,16,10,1"
"313","exec sp_cursorfetch 180150051,16,11,1"
"314","exec sp_cursorfetch 180150051,16,12,1"
"315","exec sp_cursorfetch 180150051,16,13,1"
"316","exec sp_cursorfetch 180150051,16,14,1"
"317","exec sp_cursorfetch 180150051,16,15,1"
"318","exec sp_cursorfetch 180150051,16,16,1"
"319","exec sp_cursorfetch 180150051,16,17,1"
"320","exec sp_cursorfetch 180150051,16,18,1"
"321","exec sp_cursorfetch 180150051,16,19,1"
"322","exec sp_cursorfetch 180150051,16,20,1"
"323","exec sp_cursorfetch 180150051,16,21,1"
"324","exec sp_cursorfetch 180150051,16,22,1"
"325","exec sp_cursorfetch 180150051,16,23,1"
"326","exec sp_cursorfetch 180150051,16,24,1"
"327","exec sp_cursorfetch 180150051,16,25,1"
"328","exec sp_cursorfetch 180150051,16,26,1"
"329","exec sp_cursorfetch 180150051,16,27,1"
"330","exec sp_cursorfetch 180150051,16,28,1"
"331","exec sp_cursorfetch 180150051,16,29,1"
"332","exec sp_cursorfetch 180150051,16,30,1"
"333","exec sp_cursorfetch 180150051,16,31,1"
"334","exec sp_cursorfetch 180150051,16,32,1"
"335","exec sp_cursorfetch 180150051,16,33,1"
"336","exec sp_cursorfetch 180150051,16,34,1"
"337","exec sp_cursorfetch 180150051,16,35,1"
"338","exec sp_cursorfetch 180150051,16,36,1"
"339","exec sp_cursorfetch 180150051,16,37,1"
"340","exec sp_cursorfetch 180150051,16,38,1"
"341","exec sp_cursorfetch 180150051,16,39,1"
"342","exec sp_cursorfetch 180150051,16,40,1"
"343","exec sp_cursorfetch 180150051,16,41,1"
"344","exec sp_cursorfetch 180150051,16,42,1"
"345","exec sp_cursorfetch 180150051,16,43,1"
"346","exec sp_cursorfetch 180150051,16,44,1"
"347","exec sp_cursorfetch 180150051,16,45,1"
"348","exec sp_cursorfetch 180150051,16,46,1"
"349","exec sp_cursorfetch 180150051,16,47,1"
"350","exec sp_cursorfetch 180150051,16,48,1"
"351","exec sp_cursorfetch 180150051,16,49,1"
"352","exec sp_cursorfetch 180150051,16,50,1"
"353","exec sp_cursorfetch 180150051,16,51,1"
"354","exec sp_cursorfetch 180150051,16,52,1"
"355","exec sp_cursorfetch 180150051,16,53,1"
"356","exec sp_cursorfetch 180150051,16,54,1"
"357","exec sp_cursorfetch 180150051,16,55,1"
